food_code,serving_size_str,serving_size_unit,serving_size_value,product_weight_str,product_weight_unit,product_weight_value
D314-616000000-0001,100g,g,100.0,50g,g,50.0
D314-617000000-0001,100g,g,100.0,150g,g,150.0
D314-618000000-0001,100g,g,100.0,150g,g,150.0
D314-619000000-0001,100g,g,100.0,100g,g,100.0
D314-626000000-0001,100g,g,100.0,100g,g,100.0
D314-626000000-0002,100g,g,100.0,100g,g,100.0
D314-629100000-0001,100g,g,100.0,100g,g,100.0
D314-629330000-0001,100g,g,100.0,250g,g,250.0
D314-630000000-0001,100g,g,100.0,700g,g,700.0
D314-630180000-0001,100g,g,100.0,800g,g,800.0
D314-632000000-0001,100g,g,100.0,100g,g,100.0
D314-634000000-0001,100g,g,100.0,100g,g,100.0
D312-553000000-0001,100g,g,100.0,200g,g,200.0
D312-554000000-0001,100g,g,100.0,100g,g,100.0
D312-555000000-0001,100g,g,100.0,100g,g,100.0
D312-557000000-0001,100g,g,100.0,100g,g,100.0
D312-558030000-0001,100g,g,100.0,100g,g,100.0
D312-559000000-0001,100g,g,100.0,200g,g,200.0
D312-560000000-0001,100g,g,100.0,100g,g,100.0
D312-561000000-0001,100g,g,100.0,100g,g,100.0
D312-563000000-0001,100g,g,100.0,100g,g,100.0
D312-564000000-0001,100g,g,100.0,100g,g,100.0
D312-564000000-0002,100g,g,100.0,,,
D312-565000000-0001,100g,g,100.0,200g,g,200.0
D312-566000000-0001,100g,g,100.0,790g,g,790.0
D312-584000000-0001,100g,g,100.0,200g,g,200.0
D313-568000000-0001,100g,g,100.0,100g,g,100.0
D313-571000000-0001,100g,g,100.0,100g,g,100.0
D313-572000000-0001,100g,g,100.0,200g,g,200.0
D313-576000000-0001,100g,g,100.0,100g,g,100.0
D403-187000000-0001,100ml,ml,100.0,780ml,ml,780.0
D312-541000000-0001,100g,g,100.0,,,
D312-541000000-0002,100g,g,100.0,100g,g,100.0
D312-545000000-0001,100g,g,100.0,100g,g,100.0
D312-548000000-0001,100g,g,100.0,150g,g,150.0
D312-549000000-0001,100g,g,100.0,300g,g,300.0
D312-549050000-0001,100g,g,100.0,100g,g,100.0
D312-549060000-0001,100g,g,100.0,100g,g,100.0
D312-549070000-0001,100g,g,100.0,100g,g,100.0
D312-549100000-0001,100g,g,100.0,100g,g,100.0
D312-549110000-0001,100g,g,100.0,100g,g,100.0
D312-549150000-0001,100g,g,100.0,,,
D312-549160000-0001,100g,g,100.0,200g,g,200.0
D312-550000000-0001,100g,g,100.0,319g,g,319.0
D312-550000000-0002,100g,g,100.0,100g,g,100.0
D312-550020000-0001,100g,g,100.0,100g,g,100.0
D312-550080000-0001,100g,g,100.0,200g,g,200.0
D312-550090000-0001,100g,g,100.0,200g,g,200.0
D312-550140000-0001,100g,g,100.0,250g,g,250.0
D403-186000000-0001,100ml,ml,100.0,400ml,ml,400.0
D310-494000000-0001,100g,g,100.0,100g,g,100.0
D310-502000000-0001,100g,g,100.0,400g,g,400.0
D311-506000000-0001,100g,g,100.0,300g,g,300.0
D311-509000000-0001,100g,g,100.0,100g,g,100.0
D311-510000000-0001,100g,g,100.0,100g,g,100.0
D311-514000000-0001,100g,g,100.0,1254g,g,1254.0
D311-516000000-0001,100g,g,100.0,250g,g,250.0
D311-524000000-0001,100g,g,100.0,100g,g,100.0
D311-528000000-0001,100g,g,100.0,100g,g,100.0
D311-532031900-0001,100g,g,100.0,50g,g,50.0
D311-532081900-0001,100g,g,100.0,50g,g,50.0
D311-532090000-0001,100g,g,100.0,100g,g,100.0
D311-533000000-0001,100g,g,100.0,300g,g,300.0
D311-536000000-0001,100g,g,100.0,100g,g,100.0
D312-537000000-0001,100g,g,100.0,587g,g,587.0
D312-538000000-0001,100g,g,100.0,200g,g,200.0
D312-539000000-0001,100g,g,100.0,100g,g,100.0
D312-540000000-0001,100g,g,100.0,100g,g,100.0
D403-185000000-0001,100ml,ml,100.0,450ml,ml,450.0
D310-472360000-0001,100g,g,100.0,20g,g,20.0
D310-475000000-0001,100g,g,100.0,100g,g,100.0
D310-476280000-0001,100g,g,100.0,150g,g,150.0
D310-476350000-0001,100g,g,100.0,150g,g,150.0
D310-481000000-0001,100g,g,100.0,369g,g,369.0
D310-482000000-0001,100g,g,100.0,200g,g,200.0
D310-483000000-0001,100g,g,100.0,579g,g,579.0
D310-483000000-0002,100g,g,100.0,813g,g,813.0
D310-483000000-0003,100g,g,100.0,532g,g,532.0
D310-483000000-0004,100g,g,100.0,400g,g,400.0
D310-483240000-0001,100g,g,100.0,100g,g,100.0
D310-488000000-0001,100g,g,100.0,100g,g,100.0
D310-489000000-0001,100g,g,100.0,100g,g,100.0
D310-491000000-0001,100g,g,100.0,100g,g,100.0
D310-492000000-0001,100g,g,100.0,512g,g,512.0
D310-492000000-0002,100g,g,100.0,341g,g,341.0
D310-492080000-0001,100g,g,100.0,200g,g,200.0
D310-493000000-0001,100g,g,100.0,200g,g,200.0
D310-455170000-0001,100g,g,100.0,150g,g,150.0
D310-456120000-0001,100g,g,100.0,100g,g,100.0
D310-459000000-0001,100g,g,100.0,100g,g,100.0
D310-460000000-0001,100g,g,100.0,100g,g,100.0
D310-462000000-0001,100g,g,100.0,862g,g,862.0
D310-462000000-0002,100g,g,100.0,984g,g,984.0
D310-462000000-0003,100g,g,100.0,813g,g,813.0
D310-462000000-0004,100g,g,100.0,400g,g,400.0
D310-464000000-0001,100g,g,100.0,650g,g,650.0
D310-464000000-0002,100g,g,100.0,200g,g,200.0
D310-466000000-0001,100g,g,100.0,250g,g,250.0
D310-467000000-0001,100g,g,100.0,866g,g,866.0
D310-467000000-0002,100g,g,100.0,965g,g,965.0
D310-467000000-0003,100g,g,100.0,806g,g,806.0
D310-467000000-0004,100g,g,100.0,1100g,g,1100.0
D310-467330000-0001,100g,g,100.0,100g,g,100.0
D310-470000000-0001,100g,g,100.0,742g,g,742.0
D310-471000000-0001,100g,g,100.0,150g,g,150.0
D309-430040000-0001,100g,g,100.0,150g,g,150.0
D309-431000000-0001,100g,g,100.0,200g,g,200.0
D309-432000000-0001,100g,g,100.0,80g,g,80.0
D309-433000000-0001,100g,g,100.0,100g,g,100.0
D309-436000000-0001,100g,g,100.0,80g,g,80.0
D309-437070000-0001,100g,g,100.0,150g,g,150.0
D309-439000000-0001,100g,g,100.0,100g,g,100.0
D309-441000000-0001,100g,g,100.0,150g,g,150.0
D309-442000000-0001,100g,g,100.0,1330g,g,1330.0
D309-443000000-0001,100g,g,100.0,100g,g,100.0
D309-445000000-0001,100g,g,100.0,150g,g,150.0
D309-446000000-0001,100g,g,100.0,80g,g,80.0
D309-447000000-0001,100g,g,100.0,150g,g,150.0
D310-449000000-0001,100g,g,100.0,641g,g,641.0
D310-449000000-0002,100g,g,100.0,720g,g,720.0
D310-449000000-0003,100g,g,100.0,401g,g,401.0
D310-450040000-0001,100g,g,100.0,100g,g,100.0
D310-453000000-0001,100g,g,100.0,556g,g,556.0
D308-405000000-0001,100g,g,100.0,200g,g,200.0
D308-406000000-0001,100g,g,100.0,250g,g,250.0
D308-406000000-0002,100g,g,100.0,,,
D309-410000000-0001,100g,g,100.0,150g,g,150.0
D309-411000000-0001,100g,g,100.0,100g,g,100.0
D309-413000000-0001,100g,g,100.0,150g,g,150.0
D309-414020000-0001,100g,g,100.0,80g,g,80.0
D309-415000000-0001,100g,g,100.0,100g,g,100.0
D309-416030000-0001,100g,g,100.0,100g,g,100.0
D309-416090000-0001,100g,g,100.0,100g,g,100.0
D309-418000000-0001,100g,g,100.0,100g,g,100.0
D309-419000000-0001,100g,g,100.0,100g,g,100.0
D309-420000000-0001,100g,g,100.0,150g,g,150.0
D309-423000000-0001,100g,g,100.0,150g,g,150.0
D309-424000000-0001,100g,g,100.0,150g,g,150.0
D309-425000000-0001,100g,g,100.0,150g,g,150.0
D309-429000000-0001,100g,g,100.0,100g,g,100.0
D309-430010000-0001,100g,g,100.0,150g,g,150.0
D317-697000000-0001,100g,g,100.0,100g,g,100.0
D308-375000000-0003,100g,g,100.0,522g,g,522.0
D308-375093800-0001,100g,g,100.0,200g,g,200.0
D308-378120000-0001,100g,g,100.0,100g,g,100.0
D308-386000000-0001,100g,g,100.0,,,
D308-387000000-0001,100g,g,100.0,477g,g,477.0
D308-387000000-0002,100g,g,100.0,445g,g,445.0
D308-387000000-0003,100g,g,100.0,435g,g,435.0
D308-387000000-0008,100g,g,100.0,555g,g,555.0
D308-387000000-0009,100g,g,100.0,633g,g,633.0
D308-388000000-0001,100g,g,100.0,100g,g,100.0
D308-389050000-0001,100g,g,100.0,100g,g,100.0
D308-395000000-0001,100g,g,100.0,250g,g,250.0
D308-396083200-0001,100g,g,100.0,100g,g,100.0
D308-396160000-0001,100g,g,100.0,150g,g,150.0
D308-400120000-0001,100g,g,100.0,100g,g,100.0
D308-403000000-0001,100g,g,100.0,100g,g,100.0
D308-404000000-0001,100g,g,100.0,593g,g,593.0
D308-404000000-0002,100g,g,100.0,200g,g,200.0
D307-348000000-0001,100g,g,100.0,844g,g,844.0
D307-348000000-0002,100g,g,100.0,771g,g,771.0
D307-348000000-0003,100g,g,100.0,500g,g,500.0
D308-352000000-0001,100g,g,100.0,100g,g,100.0
D308-353050000-0001,100g,g,100.0,100g,g,100.0
D308-354050000-0001,100g,g,100.0,100g,g,100.0
D308-354120000-0001,100g,g,100.0,100g,g,100.0
D308-354123400-0001,100g,g,100.0,300g,g,300.0
D308-354173400-0001,100g,g,100.0,150g,g,150.0
D308-355030000-0001,100g,g,100.0,100g,g,100.0
D308-362040000-0001,100g,g,100.0,70g,g,70.0
D308-364000000-0001,100g,g,100.0,500g,g,500.0
D308-370120000-0001,100g,g,100.0,100g,g,100.0
D308-371000000-0001,100g,g,100.0,100g,g,100.0
D308-373010000-0001,100g,g,100.0,100g,g,100.0
D308-374000000-0001,100g,g,100.0,100g,g,100.0
D308-375000000-0001,100g,g,100.0,433g,g,433.0
D308-375000000-0002,100g,g,100.0,755g,g,755.0
D307-318000000-0001,100g,g,100.0,968g,g,968.0
D307-318140000-0001,100g,g,100.0,1500g,g,1500.0
D307-320000000-0001,100g,g,100.0,500g,g,500.0
D307-322000000-0001,100g,g,100.0,500g,g,500.0
D307-323000000-0001,100g,g,100.0,100g,g,100.0
D307-324000000-0001,100g,g,100.0,895g,g,895.0
D307-325010000-0001,100g,g,100.0,100g,g,100.0
D307-325090000-0001,100g,g,100.0,200g,g,200.0
D307-325230000-0001,100g,g,100.0,100g,g,100.0
D307-327000000-0001,100g,g,100.0,450g,g,450.0
D307-330000000-0001,100g,g,100.0,150g,g,150.0
D307-331000000-0001,100g,g,100.0,1100g,g,1100.0
D307-334160000-0001,100g,g,100.0,100g,g,100.0
D307-337000000-0001,100g,g,100.0,300g,g,300.0
D307-338000000-0001,100g,g,100.0,1557g,g,1557.0
D307-338000000-0002,100g,g,100.0,400g,g,400.0
D307-340000000-0001,100g,g,100.0,350g,g,350.0
D307-343000000-0001,100g,g,100.0,100g,g,100.0
D307-344000000-0001,100g,g,100.0,100g,g,100.0
D306-297000000-0001,100g,g,100.0,909g,g,909.0
D306-297000000-0002,100g,g,100.0,801g,g,801.0
D306-297114300-0001,100g,g,100.0,100g,g,100.0
D306-298000000-0001,100g,g,100.0,1000g,g,1000.0
D306-300000000-0001,100g,g,100.0,1216g,g,1216.0
D306-300000000-0002,100g,g,100.0,600g,g,600.0
D306-301000000-0001,100g,g,100.0,100g,g,100.0
D306-302000000-0001,100g,g,100.0,300g,g,300.0
D306-303180000-0001,100g,g,100.0,100g,g,100.0
D307-306030000-0001,100g,g,100.0,300g,g,300.0
D307-306130000-0001,100g,g,100.0,250g,g,250.0
D307-309000000-0001,100g,g,100.0,700g,g,700.0
D307-309000000-0002,100g,g,100.0,670g,g,670.0
D307-310000000-0001,100g,g,100.0,100g,g,100.0
D307-311000000-0001,100g,g,100.0,100g,g,100.0
D307-312200000-0001,100g,g,100.0,80g,g,80.0
D307-317040000-0001,100g,g,100.0,100g,g,100.0
D307-317210000-0001,100g,g,100.0,100g,g,100.0
D317-696000000-0001,100g,g,100.0,100g,g,100.0
D306-285000000-0001,100g,g,100.0,803g,g,803.0
D306-285000000-0002,100g,g,100.0,997g,g,997.0
D306-285000000-0003,100g,g,100.0,1517g,g,1517.0
D306-285000000-0004,100g,g,100.0,537g,g,537.0
D306-286000000-0001,100g,g,100.0,1114g,g,1114.0
D306-287000000-0001,100g,g,100.0,1686g,g,1686.0
D306-287000000-0002,100g,g,100.0,1024g,g,1024.0
D306-287000000-0003,100g,g,100.0,1234g,g,1234.0
D306-287180000-0001,100g,g,100.0,600g,g,600.0
D306-289000000-0001,100g,g,100.0,1613g,g,1613.0
D306-289000000-0002,100g,g,100.0,1228g,g,1228.0
D306-289000000-0003,100g,g,100.0,1840g,g,1840.0
D306-291000000-0001,100g,g,100.0,912g,g,912.0
D306-291000000-0002,100g,g,100.0,1598g,g,1598.0
D306-291000000-0003,100g,g,100.0,881g,g,881.0
D306-291000000-0004,100g,g,100.0,1359g,g,1359.0
D306-291000000-0005,100g,g,100.0,2058g,g,2058.0
D306-280020000-0001,100g,g,100.0,600g,g,600.0
D306-280080000-0001,100g,g,100.0,600g,g,600.0
D306-280120000-0001,100g,g,100.0,600g,g,600.0
D306-280170000-0001,100g,g,100.0,100g,g,100.0
D306-280190000-0001,100g,g,100.0,100g,g,100.0
D306-280210000-0001,100g,g,100.0,600g,g,600.0
D306-280230000-0001,100g,g,100.0,600g,g,600.0
D306-280240000-0001,100g,g,100.0,600g,g,600.0
D306-281000000-0001,100g,g,100.0,1269g,g,1269.0
D306-281000000-0002,100g,g,100.0,1657g,g,1657.0
D306-281000000-0003,100g,g,100.0,1655g,g,1655.0
D306-281000000-0004,100g,g,100.0,1473g,g,1473.0
D306-282000000-0001,100g,g,100.0,968g,g,968.0
D306-283000000-0001,100g,g,100.0,400g,g,400.0
D306-284000000-0001,100g,g,100.0,1173g,g,1173.0
D306-284000000-0002,100g,g,100.0,1276g,g,1276.0
D306-284000000-0003,100g,g,100.0,897g,g,897.0
D306-284000000-0004,100g,g,100.0,600g,g,600.0
D306-266000000-0001,100g,g,100.0,400g,g,400.0
D306-266040000-0001,100g,g,100.0,100g,g,100.0
D306-266280000-0001,100g,g,100.0,300g,g,300.0
D306-267000000-0001,100g,g,100.0,300g,g,300.0
D306-268000000-0001,100g,g,100.0,1226g,g,1226.0
D306-269000000-0001,100g,g,100.0,1166g,g,1166.0
D306-270000000-0001,100g,g,100.0,923g,g,923.0
D306-274000000-0001,100g,g,100.0,702g,g,702.0
D306-274000000-0002,100g,g,100.0,553g,g,553.0
D306-275000000-0001,100g,g,100.0,695g,g,695.0
